school,city,state,zip
Hilton Head Island Elementary School,Hilton Head Island ,SC ,29926-1686 
Meadow Glen,Lexington ,SC ,29072-8041 
East Point Academy middle school,West Columbia ,SC ,29169
East Point Academy Elementary campus,West Columbia ,SC ,29196
LakeCreek Montessori International School,Austin ,TX ,78729
Joslin Foreign Language Elementary School,Austin ,TX ,78745
Little Tigers Immersion School,Austin ,TX ,78751
Reilly Elementary,Austin ,TX ,78752
Doss Elementary School,Austin ,TX ,78731-2933 
Weaver Elementary,Garland ,TX ,75040-4834 
Mandarin Chinese Language Immersion Magnet School,Houston ,TX ,77056
International School of San Antonio,San Antonio,TX ,78230
Stafford Elementary School,Stafford ,TX ,77477-6326 
Timberline Middle School,Alpine ,UT ,84042
Alpine Elementary,Alpine ,UT ,84004-1435 
Mueller Park Junior High School,Bountiful ,UT ,84010
Leo J. Muir Elementary,Bountiful ,UT ,84010-5641 
Adele Young Intermediate,Brigham City ,UT ,84302
Foothill Elementary,Brigham City ,UT ,84302-1406 
Fiddlers Canyon Elementary,Cedar City,UT ,84721
Stewart Elementary,Centerville ,UT ,84014-1500 
Centerville Junior High,Centerville ,UT ,84014-2253 
Brighton High School,Cottonwood Heights ,UT ,84070
Ridgecrest Elementary,Cottonwood Heights ,UT ,84121-6146 
Butler Middle School,Cottonwood Heights ,UT ,84121-6228 
Corner Canyon High School,Draper ,UT ,84020
Draper Park Middle School,Draper ,UT ,84020-9153 
Draper Elementary,Draper ,UT ,84020-9307 
Black Ridge Elementary,Eagle Mountain ,UT ,84005-6259 
Mountain Ridge High School,Herriman ,UT ,84096
Fort Herriman Middle School,Herriman ,UT ,84096-1931 
Copper Mountain Middle School,Herriman ,UT ,84096-5674 
Bonneville Junior High School,Holladay ,UT ,84117 
Spring Lane Elementary,Holladay ,UT ,84117-7499 
Hurricane Intermediate School,Hurricane ,UT ,84737
Three Falls Elementary,Hurricane ,UT ,84737-2511 
Cedar Ridge Elementary,Hyde Park,UT ,
Heritage Elementary,Layton ,UT ,84041-7310 
